Month,Season,Budget,Temperature,Weather,Activity_Preference,Group_Size,Suggested_Place
October,Autumn,Medium,15,Mild,Cultural,5,Munnar
July,Monsoon,Medium,21,Rainy,Family Trip,6,Goa
May,Summer,High,26,Hot,Adventure,7,"Elephant Falls, Shillong"
October,Autumn,Low,25,Mild,Cultural,10,Gangtok
July,Monsoon,High,27,Rainy,Family Trip,3,Tawang
January,Winter,Medium,0,Cold,Adventure,9,Jammu-Kashmir
April,Spring,Low,29,Pleasant,Eco Tourism,7,"Nohkalikai Falls, Cherrapunji"
November,Autumn,Medium,23,Mild,Cultural,6,"Bhushi Dam, Lonavala"
May,Summer,Low,26,Hot,Adventure,6,Jammu-Kashmir
May,Summer,Low,29,Hot,Adventure,9,"Elephant Falls, Shillong"
August,Monsoon,High,25,Rainy,Family Trip,3,"Manali and Kullu, Himachal Pradesh"
December,Winter,High,9,Cold,Adventure,6,"Mahabaleshwar, Maharashtra"
August,Monsoon,Medium,22,Rainy,Family Trip,7,"Tsomgo Lake, Sikkim"
December,Winter,Low,8,Cold,Adventure,8,Gangtok
October,Autumn,Medium,19,Mild,Cultural,6,Rann of Kutch
December,Winter,High,-2,Cold,Adventure,7,Shimla
February,Winter,Medium,7,Cold,Adventure,4,Jaisalmer
July,Monsoon,Medium,26,Rainy,Family Trip,6,"Sunset Viewpoint, Agumbe"
April,Spring,Low,28,Pleasant,Eco Tourism,5,"Hampi, Karnataka"
July,Monsoon,Medium,28,Rainy,Family Trip,9,Kumili
March,Spring,Low,15,Pleasant,Eco Tourism,10,Shimla
October,Autumn,Low,19,Mild,Cultural,1,Tawang
July,Monsoon,Low,27,Rainy,Family Trip,7,Idukki
February,Winter,Low,-4,Cold,Adventure,10,"Wayanad, Alleppey - Kerala"
April,Spring,Medium,26,Pleasant,Eco Tourism,5,"Wayanad, Kerala"
October,Autumn,High,23,Mild,Cultural,1,"Sunset Viewpoint, Agumbe"
February,Winter,Medium,0,Cold,Adventure,9,"Ooty, Tamil Nadu"
April,Spring,Medium,21,Pleasant,Eco Tourism,4,Ooty
April,Spring,High,30,Pleasant,Eco Tourism,7,Jaisalmer
July,Monsoon,Low,21,Rainy,Family Trip,1,"Palolem Beach, Goa"
January,Winter,Medium,-3,Cold,Adventure,6,Jaisalmer
March,Spring,Medium,21,Pleasant,Eco Tourism,4,"Wayanad, Alleppey - Kerala"
May,Summer,Low,34,Hot,Adventure,3,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
February,Winter,Low,-5,Cold,Adventure,1,"Hampi, Karnataka"
February,Winter,Medium,12,Cold,Adventure,4,Gulmarg
February,Winter,Low,-3,Cold,Adventure,7,"Kullu-Manali, Himachal Pradesh"
August,Monsoon,Low,28,Rainy,Family Trip,9,"Abbey Falls, Coorg"
January,Winter,High,11,Cold,Adventure,4,"Manali and Kullu, Himachal Pradesh"
January,Winter,Low,15,Cold,Adventure,9,Munnar
July,Monsoon,Low,27,Rainy,Family Trip,1,"Nilgiris Tiger Reserves, Karnataka"
February,Winter,High,15,Cold,Adventure,7,Rishikesh
December,Winter,Medium,14,Cold,Adventure,2,Rishikesh
January,Winter,Low,-5,Cold,Adventure,3,Coorg
October,Autumn,High,17,Mild,Cultural,4,"Pillar Rocks, Kodaikanal"
November,Autumn,Medium,20,Mild,Cultural,5,"Manali and Kullu, Himachal Pradesh"
November,Autumn,Medium,22,Mild,Cultural,8,"Ooty, Tamil Nadu"
April,Spring,Low,29,Pleasant,Eco Tourism,5,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,Low,30,Rainy,Family Trip,5,Udaipur
March,Spring,Low,21,Pleasant,Eco Tourism,10,Munnar
July,Monsoon,Low,29,Rainy,Family Trip,10,Tawang
March,Spring,High,17,Pleasant,Eco Tourism,4,Jammu-Kashmir
November,Autumn,High,18,Mild,Cultural,5,"Attukal Waterfalls, Munnar"
September,Autumn,Medium,17,Mild,Cultural,6,"Valley of Flowers, Uttarakhand"
April,Spring,Low,24,Pleasant,Eco Tourism,5,Dalhousie
November,Autumn,Low,15,Mild,Cultural,3,"Wayanad, Alleppey - Kerala"
September,Autumn,Low,17,Mild,Cultural,7,"Ooty, Tamil Nadu"
April,Spring,Medium,16,Pleasant,Eco Tourism,6,"Manali and Kullu, Himachal Pradesh"
June,Monsoon,High,25,Rainy,Family Trip,4,"Darjeeling, West Bengal"
December,Winter,High,13,Cold,Adventure,4,"Leh-Ladakh, Jammu & Kashmir"
November,Autumn,Medium,19,Mild,Cultural,8,"Kullu-Manali, Himachal Pradesh"
April,Spring,Low,30,Pleasant,Eco Tourism,8,"Darjeeling, Kalimpong - West Bengal"
February,Winter,High,-1,Cold,Adventure,7,"Abbey Falls, Coorg"
January,Winter,Medium,4,Cold,Adventure,6,Gangtok
February,Winter,High,9,Cold,Adventure,6,"Wayanad, Alleppey - Kerala"
February,Winter,Low,9,Cold,Adventure,4,Kullu
February,Winter,High,-4,Cold,Adventure,2,"Valley of Flowers, Uttarakhand"
December,Winter,Low,12,Cold,Adventure,6,"Manali and Kullu, Himachal Pradesh"
February,Winter,High,11,Cold,Adventure,6,Shillong
November,Autumn,Low,17,Mild,Cultural,1,Munnar
June,Monsoon,High,30,Rainy,Family Trip,5,Gulmarg
April,Spring,Medium,18,Pleasant,Eco Tourism,1,Dalhousie
September,Autumn,Low,20,Mild,Cultural,7,Tawang
June,Monsoon,Medium,29,Rainy,Family Trip,6,"Rann of Kutch, Gujarat"
January,Winter,High,-3,Cold,Adventure,9,Rishikesh
February,Winter,High,13,Cold,Adventure,4,"Wayanad, Alleppey - Kerala"
August,Monsoon,High,27,Rainy,Family Trip,2,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,Medium,21,Rainy,Family Trip,3,"Wayanad, Alleppey - Kerala"
February,Winter,High,-2,Cold,Adventure,3,"Hampi, Karnataka"
April,Spring,High,30,Pleasant,Eco Tourism,6,Gangtok
March,Spring,Low,15,Pleasant,Eco Tourism,4,"Ooty, Tamil Nadu"
June,Monsoon,Low,28,Rainy,Family Trip,8,Gangtok
March,Spring,Low,17,Pleasant,Eco Tourism,3,"Manali and Kullu, Himachal Pradesh"
September,Autumn,Low,24,Mild,Cultural,4,"Leh-Ladakh, Jammu & Kashmir"
September,Autumn,Low,17,Mild,Cultural,4,"Rann of Kutch, Gujarat"
October,Autumn,High,15,Mild,Cultural,6,Shimla
February,Winter,Medium,2,Cold,Adventure,3,"Bhushi Dam, Lonavala"
August,Monsoon,High,24,Rainy,Family Trip,5,Udaipur
November,Autumn,High,23,Mild,Cultural,5,Ooty
November,Autumn,Low,24,Mild,Cultural,8,Kodaikanal
August,Monsoon,High,22,Rainy,Family Trip,10,Mussoorie
January,Winter,Low,-5,Cold,Adventure,9,"Nilgiris Tiger Reserves, Karnataka"
September,Autumn,Medium,16,Mild,Cultural,2,Munnar
July,Monsoon,Low,25,Rainy,Family Trip,3,Jammu-Kashmir
February,Winter,Medium,7,Cold,Adventure,6,Mount Abu
September,Autumn,Low,15,Mild,Cultural,1,Tawang
September,Autumn,Medium,15,Mild,Cultural,6,Munnar
January,Winter,Medium,9,Cold,Adventure,9,"Rann of Kutch, Gujarat"
July,Monsoon,High,20,Rainy,Family Trip,10,"Bhushi Dam, Lonavala"
November,Autumn,Medium,16,Mild,Cultural,6,"Attukal Waterfalls, Munnar"
January,Winter,Medium,12,Cold,Adventure,5,Rishikesh
March,Spring,Medium,26,Pleasant,Eco Tourism,5,"Tsomgo Lake, Sikkim"
June,Monsoon,High,30,Rainy,Family Trip,9,Kumili
May,Summer,Low,30,Hot,Adventure,7,"Sunset Viewpoint, Agumbe"
December,Winter,Low,-5,Cold,Adventure,10,"Darjeeling, Kalimpong - West Bengal"
March,Spring,Medium,26,Pleasant,Eco Tourism,3,Munnar
January,Winter,Low,8,Cold,Adventure,8,"Amber Palace, Jaipur"
August,Monsoon,Medium,27,Rainy,Family Trip,10,Gangtok
March,Spring,High,26,Pleasant,Eco Tourism,2,Ooty
February,Winter,High,7,Cold,Adventure,10,Jammu-Kashmir
November,Autumn,High,18,Mild,Cultural,2,Goa
June,Monsoon,Medium,23,Rainy,Family Trip,8,Gangtok
August,Monsoon,Medium,28,Rainy,Family Trip,7,"Darjeeling, West Bengal"
August,Monsoon,Low,26,Rainy,Family Trip,10,Kodaikanal
January,Winter,High,-5,Cold,Adventure,5,Idukki
December,Winter,Medium,5,Cold,Adventure,3,Idukki
July,Monsoon,High,30,Rainy,Family Trip,1,"Pushkar, Rajasthan"
July,Monsoon,Medium,30,Rainy,Family Trip,10,Shillong
September,Autumn,High,19,Mild,Cultural,1,Leh & Ladakh
June,Monsoon,Medium,26,Rainy,Family Trip,4,"Pillar Rocks, Kodaikanal"
October,Autumn,Medium,18,Mild,Cultural,1,Darjeeling
May,Summer,Medium,29,Hot,Adventure,7,Jammu-Kashmir
June,Monsoon,High,29,Rainy,Family Trip,2,"Wayanad, Alleppey - Kerala"
February,Winter,Medium,14,Cold,Adventure,3,"Amber Palace, Jaipur"
August,Monsoon,High,24,Rainy,Family Trip,4,"Leh-Ladakh, Jammu & Kashmir"
April,Spring,Low,25,Pleasant,Eco Tourism,9,Tawang
December,Winter,High,10,Cold,Adventure,8,"Pushkar, Rajasthan"
January,Winter,Low,5,Cold,Adventure,4,"Ooty, Tamil Nadu"
August,Monsoon,Low,30,Rainy,Family Trip,3,Rishikesh
September,Autumn,Low,24,Mild,Cultural,9,"Tsomgo Lake, Sikkim"
November,Autumn,Medium,20,Mild,Cultural,2,Kullu
September,Autumn,High,22,Mild,Cultural,7,"Wayanad, Alleppey - Kerala"
July,Monsoon,High,24,Rainy,Family Trip,4,Jaisalmer
January,Winter,Medium,10,Cold,Adventure,7,Ooty
February,Winter,High,10,Cold,Adventure,5,Gangtok
December,Winter,Medium,-5,Cold,Adventure,6,"Wayanad, Alleppey - Kerala"
July,Monsoon,High,27,Rainy,Family Trip,10,"Leh-Ladakh, Jammu & Kashmir"
February,Winter,Medium,-3,Cold,Adventure,10,"Ooty, Tamil Nadu"
October,Autumn,High,24,Mild,Cultural,7,"Abbey Falls, Coorg"
November,Autumn,High,20,Mild,Cultural,1,Wayanad
May,Summer,Medium,36,Hot,Adventure,6,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
March,Spring,Low,26,Pleasant,Eco Tourism,1,Goa
August,Monsoon,High,27,Rainy,Family Trip,8,"Darjeeling, Kalimpong - West Bengal"
February,Winter,Low,3,Cold,Adventure,8,Wayanad
July,Monsoon,High,21,Rainy,Family Trip,2,Darjeeling
April,Spring,Medium,30,Pleasant,Eco Tourism,7,Wayanad
January,Winter,High,-1,Cold,Adventure,7,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,Low,29,Rainy,Family Trip,7,Munnar
May,Summer,Low,34,Hot,Adventure,5,Jammu-Kashmir
February,Winter,Medium,9,Cold,Adventure,3,"Valley of Flowers, Uttarakhand"
February,Winter,Low,12,Cold,Adventure,9,"Nohkalikai Falls, Cherrapunji"
August,Monsoon,High,28,Rainy,Family Trip,2,Shillong
April,Spring,High,25,Pleasant,Eco Tourism,10,"Mahabaleshwar, Maharashtra"
December,Winter,High,0,Cold,Adventure,9,"Pushkar, Rajasthan"
February,Winter,High,11,Cold,Adventure,3,Mussoorie
December,Winter,Low,12,Cold,Adventure,9,Kodaikanal
January,Winter,High,15,Cold,Adventure,10,"Darjeeling, Kalimpong - West Bengal"
June,Monsoon,Medium,29,Rainy,Family Trip,5,"Hampi, Karnataka"
March,Spring,Medium,22,Pleasant,Eco Tourism,1,Dalhousie
July,Monsoon,Low,24,Rainy,Family Trip,10,Leh & Ladakh
October,Autumn,Medium,25,Mild,Cultural,5,"Attukal Waterfalls, Munnar"
August,Monsoon,Medium,22,Rainy,Family Trip,9,"Wayanad, Alleppey - Kerala"
December,Winter,Medium,15,Cold,Adventure,3,"Nohkalikai Falls, Cherrapunji"
July,Monsoon,High,24,Rainy,Family Trip,5,"Darjeeling, Kalimpong - West Bengal"
January,Winter,Medium,0,Cold,Adventure,7,Dalhousie
September,Autumn,High,15,Mild,Cultural,6,"Pillar Rocks, Kodaikanal"
January,Winter,Low,7,Cold,Adventure,1,"Mahabaleshwar, Maharashtra"
May,Summer,Low,34,Hot,Adventure,2,"Attukal Waterfalls, Munnar"
November,Autumn,Medium,15,Mild,Cultural,4,Dalhousie
September,Autumn,Medium,23,Mild,Cultural,8,Jammu-Kashmir
April,Spring,Medium,23,Pleasant,Eco Tourism,2,"Elephant Falls, Shillong"
October,Autumn,Medium,25,Mild,Cultural,6,"Hampi, Karnataka"
March,Spring,Low,17,Pleasant,Eco Tourism,4,Darjeeling
January,Winter,Medium,-1,Cold,Adventure,5,"Kullu-Manali, Himachal Pradesh"
July,Monsoon,Low,30,Rainy,Family Trip,10,Gangtok
November,Autumn,Medium,25,Mild,Cultural,6,"Wayanad, Alleppey - Kerala"
August,Monsoon,Low,22,Rainy,Family Trip,1,Tawang
June,Monsoon,Medium,20,Rainy,Family Trip,6,Munnar
February,Winter,Low,14,Cold,Adventure,4,"Wayanad, Alleppey - Kerala"
December,Winter,Medium,14,Cold,Adventure,4,Udaipur
October,Autumn,Medium,18,Mild,Cultural,6,"Mahabaleshwar, Maharashtra"
July,Monsoon,Medium,29,Rainy,Family Trip,3,"Valley of Flowers, Uttarakhand"
April,Spring,High,21,Pleasant,Eco Tourism,4,"Valley of Flowers, Uttarakhand"
November,Autumn,Medium,23,Mild,Cultural,10,"Hampi, Karnataka"
July,Monsoon,Low,30,Rainy,Family Trip,5,"Hampi, Karnataka"
July,Monsoon,Medium,28,Rainy,Family Trip,1,"Bhushi Dam, Lonavala"
January,Winter,Medium,6,Cold,Adventure,9,"Hampi, Karnataka"
August,Monsoon,Medium,28,Rainy,Family Trip,8,Kumili
November,Autumn,Low,24,Mild,Cultural,3,Gulmarg
October,Autumn,Low,25,Mild,Cultural,5,Jammu-Kashmir
March,Spring,Low,15,Pleasant,Eco Tourism,8,"Manali and Kullu, Himachal Pradesh"
February,Winter,High,9,Cold,Adventure,9,Kumili
May,Summer,High,33,Hot,Adventure,10,"Manali and Kullu, Himachal Pradesh"
February,Winter,Low,-4,Cold,Adventure,10,Idukki
November,Autumn,Medium,18,Mild,Cultural,8,Goa
December,Winter,High,9,Cold,Adventure,4,Auli
January,Winter,Low,-4,Cold,Adventure,5,"Bhushi Dam, Lonavala"
April,Spring,High,24,Pleasant,Eco Tourism,2,Mussoorie
September,Autumn,Medium,16,Mild,Cultural,8,"Sunset Viewpoint, Agumbe"
February,Winter,Low,-5,Cold,Adventure,9,"Pushkar, Rajasthan"
August,Monsoon,High,29,Rainy,Family Trip,3,"Nilgiris Tiger Reserves, Karnataka"
November,Autumn,High,19,Mild,Cultural,2,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
May,Summer,High,36,Hot,Adventure,2,"Pillar Rocks, Kodaikanal"
July,Monsoon,Low,30,Rainy,Family Trip,9,"Darjeeling, Kalimpong - West Bengal"
June,Monsoon,Medium,20,Rainy,Family Trip,9,Shillong
October,Autumn,Medium,24,Mild,Cultural,3,"Amber Palace, Jaipur"
August,Monsoon,Medium,21,Rainy,Family Trip,2,Tawang
June,Monsoon,High,23,Rainy,Family Trip,5,Munnar
September,Autumn,High,19,Mild,Cultural,4,"Palolem Beach, Goa"
May,Summer,Medium,34,Hot,Adventure,5,"Rann of Kutch, Gujarat"
April,Spring,High,21,Pleasant,Eco Tourism,7,Jaisalmer
November,Autumn,Low,16,Mild,Cultural,7,Munnar
August,Monsoon,High,24,Rainy,Family Trip,7,"Hampi, Karnataka"
December,Winter,Medium,4,Cold,Adventure,8,Kodaikanal
September,Autumn,High,23,Mild,Cultural,1,Gangtok
February,Winter,High,5,Cold,Adventure,7,"Kullu-Manali, Himachal Pradesh"
December,Winter,High,9,Cold,Adventure,9,"Darjeeling, Kalimpong - West Bengal"
December,Winter,Low,10,Cold,Adventure,2,"Wayanad, Alleppey - Kerala"
April,Spring,High,25,Pleasant,Eco Tourism,10,Munnar
July,Monsoon,High,27,Rainy,Family Trip,3,Darjeeling
July,Monsoon,Low,21,Rainy,Family Trip,7,Udaipur
July,Monsoon,High,30,Rainy,Family Trip,6,Jammu-Kashmir
October,Autumn,High,20,Mild,Cultural,3,"Ooty, Tamil Nadu"
July,Monsoon,High,29,Rainy,Family Trip,6,Coorg
May,Summer,Low,37,Hot,Adventure,2,"Manali and Kullu, Himachal Pradesh"
September,Autumn,Low,21,Mild,Cultural,8,"Wayanad, Alleppey - Kerala"
November,Autumn,Low,17,Mild,Cultural,3,Shillong
August,Monsoon,Low,23,Rainy,Family Trip,6,Mount Abu
August,Monsoon,Medium,30,Rainy,Family Trip,10,"Pushkar, Rajasthan"
June,Monsoon,High,27,Rainy,Family Trip,3,Shimla
February,Winter,High,9,Cold,Adventure,6,Shimla
April,Spring,Low,23,Pleasant,Eco Tourism,10,Shimla
September,Autumn,Low,21,Mild,Cultural,3,"Pushkar, Rajasthan"
December,Winter,Medium,9,Cold,Adventure,3,"Hampi, Karnataka"
July,Monsoon,Medium,27,Rainy,Family Trip,1,Jammu-Kashmir
December,Winter,High,6,Cold,Adventure,5,"Rann of Kutch, Gujarat"
September,Autumn,High,19,Mild,Cultural,2,"Pushkar, Rajasthan"
September,Autumn,High,24,Mild,Cultural,1,Shimla
July,Monsoon,Low,28,Rainy,Family Trip,9,"Wayanad, Kerala"
June,Monsoon,Low,30,Rainy,Family Trip,8,"Manali and Kullu, Himachal Pradesh"
October,Autumn,Medium,23,Mild,Cultural,4,Idukki
November,Autumn,Low,23,Mild,Cultural,6,Gangtok
June,Monsoon,Medium,29,Rainy,Family Trip,5,"Rann of Kutch, Gujarat"
July,Monsoon,Low,28,Rainy,Family Trip,9,Kodaikanal
August,Monsoon,Medium,20,Rainy,Family Trip,4,"Ooty, Tamil Nadu"
August,Monsoon,Medium,29,Rainy,Family Trip,8,Jaisalmer
September,Autumn,Low,21,Mild,Cultural,1,Auli
June,Monsoon,Low,22,Rainy,Family Trip,7,"Pillar Rocks, Kodaikanal"
October,Autumn,Medium,17,Mild,Cultural,1,Gangtok
May,Summer,High,38,Hot,Adventure,2,"Pillar Rocks, Kodaikanal"
January,Winter,Medium,0,Cold,Adventure,10,"Hampi, Karnataka"
September,Autumn,Low,17,Mild,Cultural,10,Gangtok
September,Autumn,Medium,18,Mild,Cultural,4,Shimla
February,Winter,Medium,15,Cold,Adventure,4,"Ooty, Tamil Nadu"
July,Monsoon,High,21,Rainy,Family Trip,3,Mussoorie
June,Monsoon,Low,23,Rainy,Family Trip,7,"Abbey Falls, Coorg"
May,Summer,High,35,Hot,Adventure,2,Udaipur
April,Spring,Low,15,Pleasant,Eco Tourism,8,Shillong
May,Summer,High,28,Hot,Adventure,4,Tawang
May,Summer,Medium,35,Hot,Adventure,9,Mount Abu
October,Autumn,High,16,Mild,Cultural,3,Udaipur
October,Autumn,Medium,18,Mild,Cultural,2,"Ooty, Tamil Nadu"
February,Winter,Low,-3,Cold,Adventure,1,"Ooty, Tamil Nadu"
October,Autumn,Medium,16,Mild,Cultural,4,Shimla
September,Autumn,Low,16,Mild,Cultural,7,"Elephant Falls, Shillong"
March,Spring,High,23,Pleasant,Eco Tourism,4,"Sunset Viewpoint, Agumbe"
January,Winter,Low,-2,Cold,Adventure,5,"Mahabaleshwar, Maharashtra"
March,Spring,Low,18,Pleasant,Eco Tourism,2,Shimla
October,Autumn,Low,23,Mild,Cultural,1,"Mahabaleshwar, Maharashtra"
August,Monsoon,Low,23,Rainy,Family Trip,1,Munnar
November,Autumn,Medium,20,Mild,Cultural,3,"Wayanad, Kerala"
June,Monsoon,Low,24,Rainy,Family Trip,2,Jaisalmer
May,Summer,High,28,Hot,Adventure,4,Auli
July,Monsoon,Medium,28,Rainy,Family Trip,10,"Pillar Rocks, Kodaikanal"
May,Summer,Medium,25,Hot,Adventure,1,"Manali and Kullu, Himachal Pradesh"
July,Monsoon,Low,26,Rainy,Family Trip,9,"Bhushi Dam, Lonavala"
August,Monsoon,High,23,Rainy,Family Trip,5,"Bhushi Dam, Lonavala"
August,Monsoon,High,21,Rainy,Family Trip,10,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
October,Autumn,High,21,Mild,Cultural,1,"Mahabaleshwar, Maharashtra"
January,Winter,High,5,Cold,Adventure,5,"Tsomgo Lake, Sikkim"
July,Monsoon,High,21,Rainy,Family Trip,9,Ooty
April,Spring,Medium,15,Pleasant,Eco Tourism,2,"Wayanad, Alleppey - Kerala"
October,Autumn,Medium,15,Mild,Cultural,4,"Leh-Ladakh, Jammu & Kashmir"
April,Spring,Low,29,Pleasant,Eco Tourism,2,"Mahabaleshwar, Maharashtra"
February,Winter,Low,7,Cold,Adventure,10,Rann of Kutch
May,Summer,Low,32,Hot,Adventure,5,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,Low,30,Rainy,Family Trip,3,Gulmarg
May,Summer,Low,37,Hot,Adventure,5,Darjeeling
November,Autumn,Medium,21,Mild,Cultural,8,"Darjeeling, Kalimpong - West Bengal"
February,Winter,High,3,Cold,Adventure,7,"Kullu-Manali, Himachal Pradesh"
December,Winter,Medium,10,Cold,Adventure,7,"Pillar Rocks, Kodaikanal"
July,Monsoon,Low,24,Rainy,Family Trip,5,"Pillar Rocks, Kodaikanal"
April,Spring,Low,15,Pleasant,Eco Tourism,1,Shimla
March,Spring,Low,24,Pleasant,Eco Tourism,6,Coorg
January,Winter,Medium,1,Cold,Adventure,2,"Sunset Viewpoint, Agumbe"
May,Summer,Low,30,Hot,Adventure,2,Kumili
July,Monsoon,Low,22,Rainy,Family Trip,7,Idukki
January,Winter,Medium,-4,Cold,Adventure,8,Jaisalmer
March,Spring,Low,23,Pleasant,Eco Tourism,6,"Bhushi Dam, Lonavala"
July,Monsoon,Low,27,Rainy,Family Trip,8,"Sunset Viewpoint, Agumbe"
December,Winter,Low,1,Cold,Adventure,9,Kodaikanal
January,Winter,Low,-3,Cold,Adventure,7,"Mahabaleshwar, Maharashtra"
September,Autumn,High,20,Mild,Cultural,10,Rishikesh
September,Autumn,High,22,Mild,Cultural,9,Tawang
April,Spring,Medium,29,Pleasant,Eco Tourism,6,"Tsomgo Lake, Sikkim"
January,Winter,High,8,Cold,Adventure,5,Kodaikanal
August,Monsoon,Medium,30,Rainy,Family Trip,10,Tawang
May,Summer,Low,29,Hot,Adventure,6,Jammu-Kashmir
June,Monsoon,Medium,28,Rainy,Family Trip,7,Darjeeling
September,Autumn,High,20,Mild,Cultural,7,"Ooty, Tamil Nadu"
March,Spring,Medium,15,Pleasant,Eco Tourism,8,Kumili
March,Spring,Low,15,Pleasant,Eco Tourism,1,"Tsomgo Lake, Sikkim"
December,Winter,Low,12,Cold,Adventure,9,Mount Abu
October,Autumn,High,18,Mild,Cultural,6,"Mahabaleshwar, Maharashtra"
February,Winter,High,5,Cold,Adventure,2,Udaipur
May,Summer,High,30,Hot,Adventure,7,"Tsomgo Lake, Sikkim"
April,Spring,Low,15,Pleasant,Eco Tourism,6,Kullu
April,Spring,High,25,Pleasant,Eco Tourism,2,"Hampi, Karnataka"
November,Autumn,Low,25,Mild,Cultural,10,Darjeeling
June,Monsoon,Medium,24,Rainy,Family Trip,3,Kullu
March,Spring,Medium,18,Pleasant,Eco Tourism,1,"Pillar Rocks, Kodaikanal"
October,Autumn,Low,24,Mild,Cultural,8,Kodaikanal
May,Summer,High,39,Hot,Adventure,3,Kumili
April,Spring,Medium,16,Pleasant,Eco Tourism,10,"Pillar Rocks, Kodaikanal"
October,Autumn,Medium,23,Mild,Cultural,9,"Valley of Flowers, Uttarakhand"
January,Winter,Low,-4,Cold,Adventure,6,Ooty
June,Monsoon,High,28,Rainy,Family Trip,2,"Hampi, Karnataka"
May,Summer,Medium,37,Hot,Adventure,4,Tawang
September,Autumn,High,25,Mild,Cultural,2,Gulmarg
October,Autumn,Medium,20,Mild,Cultural,5,Idukki
July,Monsoon,High,22,Rainy,Family Trip,3,Udaipur
September,Autumn,Medium,18,Mild,Cultural,4,"Tsomgo Lake, Sikkim"
July,Monsoon,Medium,27,Rainy,Family Trip,5,Wayanad
January,Winter,Low,6,Cold,Adventure,4,"Darjeeling, Kalimpong - West Bengal"
October,Autumn,High,17,Mild,Cultural,2,Munnar
February,Winter,Low,2,Cold,Adventure,10,"Wayanad, Alleppey - Kerala"
June,Monsoon,Medium,22,Rainy,Family Trip,8,"Darjeeling, Kalimpong - West Bengal"
November,Autumn,Medium,23,Mild,Cultural,8,Kodaikanal
August,Monsoon,High,23,Rainy,Family Trip,4,"Abbey Falls, Coorg"
November,Autumn,Low,22,Mild,Cultural,9,Wayanad
February,Winter,High,10,Cold,Adventure,3,"Mahabaleshwar, Maharashtra"
January,Winter,High,6,Cold,Adventure,8,Goa
October,Autumn,Low,15,Mild,Cultural,7,"Sunset Viewpoint, Agumbe"
October,Autumn,High,20,Mild,Cultural,3,Auli
February,Winter,Low,10,Cold,Adventure,4,Munnar
April,Spring,Low,27,Pleasant,Eco Tourism,3,Mussoorie
May,Summer,Low,38,Hot,Adventure,7,Jammu-Kashmir
January,Winter,Medium,5,Cold,Adventure,7,"Leh-Ladakh, Jammu & Kashmir"
March,Spring,Low,20,Pleasant,Eco Tourism,3,Kullu
June,Monsoon,High,21,Rainy,Family Trip,10,Mount Abu
August,Monsoon,Low,28,Rainy,Family Trip,10,"Sunset Viewpoint, Agumbe"
February,Winter,Medium,8,Cold,Adventure,7,Kullu
February,Winter,High,15,Cold,Adventure,5,Coorg
December,Winter,High,1,Cold,Adventure,9,"Pillar Rocks, Kodaikanal"
June,Monsoon,Medium,28,Rainy,Family Trip,5,Wayanad
November,Autumn,High,15,Mild,Cultural,7,Munnar
August,Monsoon,Low,29,Rainy,Family Trip,10,"Rann of Kutch, Gujarat"
June,Monsoon,Medium,23,Rainy,Family Trip,7,"Darjeeling, Kalimpong - West Bengal"
February,Winter,Medium,12,Cold,Adventure,4,Jaisalmer
July,Monsoon,Medium,27,Rainy,Family Trip,5,Munnar
March,Spring,Medium,28,Pleasant,Eco Tourism,9,"Pillar Rocks, Kodaikanal"
November,Autumn,Medium,24,Mild,Cultural,5,"Darjeeling, West Bengal"
December,Winter,High,10,Cold,Adventure,7,Udaipur
April,Spring,Low,19,Pleasant,Eco Tourism,10,"Pushkar, Rajasthan"
May,Summer,Low,35,Hot,Adventure,4,Jammu-Kashmir
August,Monsoon,High,26,Rainy,Family Trip,8,Gangtok
March,Spring,High,22,Pleasant,Eco Tourism,7,Tawang
September,Autumn,Medium,20,Mild,Cultural,3,"Darjeeling, Kalimpong - West Bengal"
March,Spring,Medium,22,Pleasant,Eco Tourism,5,Darjeeling
December,Winter,Medium,12,Cold,Adventure,5,"Darjeeling, West Bengal"
February,Winter,Medium,-1,Cold,Adventure,5,Rishikesh
July,Monsoon,High,29,Rainy,Family Trip,6,Udaipur
August,Monsoon,Low,29,Rainy,Family Trip,7,Udaipur
December,Winter,Low,-1,Cold,Adventure,9,"Amber Palace, Jaipur"
April,Spring,High,15,Pleasant,Eco Tourism,5,Rishikesh
February,Winter,Low,-2,Cold,Adventure,10,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
July,Monsoon,Low,26,Rainy,Family Trip,8,"Pillar Rocks, Kodaikanal"
November,Autumn,Low,15,Mild,Cultural,7,"Bhushi Dam, Lonavala"
March,Spring,Medium,25,Pleasant,Eco Tourism,6,Goa
May,Summer,Low,32,Hot,Adventure,8,"Tsomgo Lake, Sikkim"
May,Summer,Medium,36,Hot,Adventure,3,Kullu
September,Autumn,Low,15,Mild,Cultural,4,"Darjeeling, Kalimpong - West Bengal"
